Binding Energy (E),,C1s Scan A,C1s Scan B,C1s Scan C,C1s Scan D,Backgnd.,Envelope,Residuals,,  
298.08,4321.86,0,0,0,0,0,4321.86,0,,
297.98,4383.7,4327.62,4327.62,4327.62,4327.62,4327.62,4327.62,56.0814,,
297.88,4280.71,4292.12,4292.12,4292.12,4292.12,4292.12,4292.12,-11.407,,
297.78,4324.22,4242.02,4242.02,4242.02,4242.02,4242.02,4242.02,82.1906,,
297.68,4259.73,4205.34,4205.34,4205.34,4205.34,4205.34,4205.34,54.3937,,
297.58,4060.43,4181.91,4181.91,4181.91,4181.91,4181.91,4181.91,-121.486,,
297.48,4173.96,4145.82,4145.82,4145.82,4145.82,4145.82,4145.82,28.1448,,
297.38,4176.55,4128.43,4128.43,4128.43,4128.43,4128.43,4128.43,48.1155,,
297.28,4096.03,4124.22,4124.22,4124.22,4124.22,4124.22,4124.22,-28.1856,,
297.18,4135.18,4107.27,4107.27,4107.27,4107.27,4107.27,4107.27,27.9142,,
297.08,4268.48,4085.58,4085.58,4085.58,4085.58,4085.58,4085.58,182.902,,
296.98,4154.7,4060.64,4060.64,4060.64,4060.64,4060.64,4060.64,94.0649,,
296.88,4101.79,4027.08,4027.08,4027.08,4027.08,4027.08,4027.08,74.7166,,
296.78,4120.68,3981.93,3981.93,3981.93,3981.93,3981.93,3981.93,138.757,,
296.68,4188.39,3937.21,3937.21,3937.21,3937.21,3937.21,3937.21,251.188,,
296.58,4016.77,3885.13,3885.13,3885.13,3885.13,3885.13,3885.13,131.644,,
296.48,4072.57,3832.4,3832.4,3832.4,3832.4,3832.4,3832.4,240.168,,
296.38,3847.54,3778.06,3778.06,3778.06,3778.06,3778.06,3778.06,69.4766,,
296.28,3886.51,3723.39,3723.39,3723.39,3723.39,3723.39,3723.39,163.119,,
296.18,3922.46,3662.11,3662.11,3662.11,3662.11,3662.11,3662.11,260.351,,
296.08,3888.75,3601.01,3601.01,3601.01,3601.01,3601.01,3601.01,287.737,,
295.98,3776.64,3533.44,3533.44,3533.44,3533.44,3533.44,3533.44,243.199,,
295.88,3701.84,3466.38,3466.38,3466.38,3466.38,3466.38,3466.38,235.461,,
295.78,3571.4,3411.83,3411.83,3411.83,3411.83,3411.83,3411.83,159.578,,
295.68,3357.13,3370.04,3370.04,3370.04,3370.04,3370.04,3370.04,-12.9086,,
295.58,3370.91,3331.56,3331.56,3331.56,3331.56,3331.56,3331.56,39.3466,,
295.48,3515.94,3300.72,3300.72,3300.72,3300.72,3300.72,3300.72,215.223,,
295.38,3363.98,3276.52,3276.52,3276.52,3276.52,3276.52,3276.52,87.46,,
295.28,3287.05,3247.18,3247.18,3247.18,3247.19,3247.18,3247.19,39.8627,,
295.18,3355.31,3215.99,3215.99,3215.99,3216,3215.99,3216,139.304,,
295.08,3281.81,3195.33,3195.33,3195.33,3195.36,3195.33,3195.36,86.4561,,
294.98,3155.43,3175.29,3175.29,3175.29,3175.35,3175.29,3175.35,-19.9172,,
294.88,3260.46,3156.91,3156.91,3156.91,3157.01,3156.91,3157.01,103.449,,
294.78,3166.13,3147.74,3147.74,3147.74,3147.91,3147.74,3147.91,18.222,,
294.68,3079.64,3138.58,3138.58,3138.58,3138.86,3138.58,3138.86,-59.2252,,
294.58,3240.92,3133.16,3133.16,3133.16,3133.62,3133.16,3133.62,107.3,,
294.48,3035.11,3128.41,3128.41,3128.41,3129.14,3128.41,3129.15,-94.0389,,
294.38,3221.24,3124.1,3124.1,3124.11,3125.21,3124.1,3125.22,96.0244,,
294.28,3135.31,3116.05,3116.05,3116.06,3117.7,3116.05,3117.71,17.6035,,
294.18,3141.22,3111.71,3111.71,3111.73,3114.07,3111.71,3114.09,27.1276,,
294.08,3128.49,3104.4,3104.4,3104.44,3107.68,3104.4,3107.72,20.7685,,
293.98,3081.65,3102.87,3102.87,3102.95,3107.3,3102.87,3107.38,-25.7357,,
293.88,3035.34,3096.95,3096.95,3097.1,3102.78,3096.95,3102.94,-67.6052,,
293.78,3236.81,3084.13,3084.13,3084.42,3091.61,3084.13,3091.9,144.915,,
293.68,3297.17,3071.42,3071.42,3071.93,3080.77,3071.42,3081.28,215.891,,
293.58,3048.51,3052.97,3052.97,3053.86,3064.39,3052.97,3065.27,-16.7621,,
293.48,3173.77,3025.9,3025.9,3027.38,3039.55,3025.9,3041.03,132.744,,
293.38,3189.19,2993.51,2993.51,2995.89,3009.5,2993.51,3011.88,177.31,,
293.28,3259.91,2961.32,2961.32,2965.05,2979.73,2961.32,2983.46,276.459,,
293.18,3137.41,2926.01,2926.01,2931.65,2946.88,2926.01,2952.52,184.888,,
293.08,2990.8,2895.15,2895.15,2903.43,2918.49,2895.15,2926.77,64.0281,,
292.98,2883.18,2868.95,2868.95,2880.74,2894.77,2868.95,2906.57,-23.3923,,
292.88,2913.89,2852.26,2852.26,2868.58,2880.6,2852.26,2896.92,16.9666,,
292.78,2862.84,2837.99,2837.99,2859.94,2868.89,2837.99,2890.84,-27.9955,,
292.68,2990.49,2825.76,2825.75,2854.47,2859.3,2825.75,2888.02,102.479,,
292.58,2866.7,2815.21,2815.21,2851.82,2851.53,2815.21,2888.15,-21.4492,,
292.48,2778.56,2804.52,2804.5,2850.05,2843.81,2804.5,2889.37,-110.808,,
292.38,2871.95,2797.47,2797.44,2852.81,2839.99,2797.44,2895.39,-23.4386,,
292.28,2709.4,2793.12,2793.05,2858.95,2839.19,2793.05,2905.17,-195.77,,
292.18,2881.24,2790.13,2789.98,2866.91,2840.15,2789.98,2917.23,-35.9905,,
292.08,2809.05,2786.58,2786.26,2874.53,2841.01,2786.26,2929.6,-120.545,,
291.98,2784.5,2786.77,2786.13,2885.9,2846.14,2786.13,2946.54,-162.046,,
291.88,2747.13,2787.16,2785.96,2897.3,2852.07,2785.96,2964.62,-217.5,,
291.78,2896.12,2788.02,2785.8,2908.78,2859.1,2785.8,2984.3,-88.1787,,
291.68,2794.85,2789.55,2785.63,2920.37,2867.48,2785.63,3006.14,-211.293,,
291.58,2861.49,2792.11,2785.43,2932.18,2877.61,2785.43,3031.03,-169.541,,
291.48,2901.33,2796.14,2785.18,2944.39,2890,2785.18,3060.16,-158.829,,
291.38,2945.99,2802.23,2784.9,2957.27,2905.42,2784.9,3095.11,-149.119,,
291.28,3020.38,2811.01,2784.57,2971.07,2924.82,2784.57,3137.77,-117.394,,
291.18,3006.43,2823.13,2784.15,2986.11,2949.47,2784.15,3190.41,-183.99,,
291.08,3210.12,2839.2,2783.66,3002.77,2981.04,2783.66,3255.71,-45.5846,,
290.98,3192.22,2859.66,2783.08,3021.47,3021.54,2783.06,3336.56,-144.34,,
290.88,3348.09,2884.72,2782.39,3042.71,3073.35,2782.35,3436.12,-88.0326,,
290.78,3486.86,2914.28,2781.58,3067.15,3139.12,2781.51,3557.61,-70.7536,,
290.68,3539.26,2947.93,2780.66,3095.59,3221.52,2780.51,3704.17,-164.903,,
290.58,3841.79,2984.92,2779.58,3129.08,3322.86,2779.29,3878.57,-36.7749,,
290.48,4066.54,3024.41,2778.39,3169.07,3444.74,2777.84,4083.08,-16.5422,,
290.38,4268.31,3065.4,2777.11,3217.51,3587.41,2776.11,4319.09,-50.7813,,
290.28,4633.19,3107.05,2775.79,3277.05,3749.21,2774.05,4586.96,46.2217,,
290.18,4887.59,3148.71,2774.58,3351.31,3926.17,2771.61,4885.93,1.65565,,
290.08,5324.01,3190.08,2773.66,3445.13,4111.76,2768.78,5214.29,109.716,,
289.98,5635.3,3231.19,2773.28,3564.85,4297.01,2765.52,5569.78,65.5211,,
289.88,6025.43,3272.47,2773.82,3718.57,4471.15,2761.85,5950.47,74.9588,,
289.78,6263.63,3314.52,2775.52,3916.06,4622.33,2757.63,6355.54,-91.9068,,
289.68,7067.63,3358.33,2778.84,4168.87,4739.3,2752.92,6786.59,281.037,,
289.58,7336.11,3405.01,2784.09,4489.46,4812.49,2747.63,7248.17,87.9473,,
289.48,7921.23,3455.88,2791.58,4890.24,4835.47,2741.75,7747.91,173.321,,
289.38,8392.73,3512.35,2801.4,5381.72,4805.74,2735.19,8295.65,97.0801,,
289.28,9015.58,3576.28,2813.7,5970.51,4725.32,2728.03,8901.71,113.872,,
289.18,9428.85,3649.7,2828.29,6656.31,4600.18,2720.23,9573.78,-144.927,,
289.08,9906.13,3735.16,2844.82,7429.58,4439.47,2711.74,10313.8,-407.668,,
288.98,10689.9,3835.87,2862.7,8269.42,4254.23,2702.42,11114.9,-425.011,,
288.88,11701.7,3956.1,2881.22,9142.88,4056.01,2692.1,11959.9,-258.199,,
288.78,13056.7,4101.76,2899.73,10006.1,3855.64,2680.64,12821.3,235.373,,
288.68,13968,4281.16,2917.72,10807.3,3662.27,2668.02,13664.4,303.648,,
